"gene","log_fold","wilcox_padjust","both_cluster","both_browns"
"C19orf60 ENSG00000006015",Inf,0.0113447049603926,2,2.23790071061922e-77
"ACPP ENSG00000014257",-0.419435256667558,1.92173411920683e-17,2,2.23790071061922e-77
"TMSB10 ENSG00000034510",0.164673355191146,0.000515741171991129,2,2.23790071061922e-77
"GPC1 ENSG00000063660",-0.380652373777876,0.00207137927598324,2,2.23790071061922e-77
"SUGP2 ENSG00000064607",Inf,0.894771614516088,2,2.23790071061922e-77
"CNN2 ENSG00000064666",Inf,0.80116871746646,2,2.23790071061922e-77
"HMG20B ENSG00000064961",-0.169142399100353,0.578319550441339,2,2.23790071061922e-77
"PLPP1 ENSG00000067113",-0.376079008045068,0.00184059913426282,2,2.23790071061922e-77
"FXYD3 ENSG00000089356",0.116697607315514,0.0104816759934862,2,2.23790071061922e-77
"PGC ENSG00000096088",1.36441697452837,1.17976295024711e-10,2,2.23790071061922e-77
"NEFH ENSG00000100285",-0.430377851177336,8.66212774740476e-11,2,2.23790071061922e-77
"BIK ENSG00000100290",-0.269512944217916,0.320022994367115,2,2.23790071061922e-77
"NDRG1 ENSG00000104419",-0.242823317170472,2.09685930656551e-06,2,2.23790071061922e-77
"AGR2 ENSG00000106541",1.28103336724773,5.5305402537593e-09,2,2.23790071061922e-77
"SLC9A3R1 ENSG00000109062",-0.269772301933539,0.00627490244930904,2,2.23790071061922e-77
"SRSF3 ENSG00000112081",NA,0.460969283031333,2,2.23790071061922e-77
"SLC39A7 ENSG00000112473",-0.28330122870355,0.24463361592932,2,2.23790071061922e-77
"PPP1R7 ENSG00000115685",-0.178866313110453,0.580808997874787,2,2.23790071061922e-77
"COX7A2L ENSG00000115944",NA,0.094109572811029,2,2.23790071061922e-77
"TSPAN1 ENSG00000117472",0.00495210019925255,0.993660558082867,2,2.23790071061922e-77
"FMOD ENSG00000122176",0.608185543962025,5.85630599896112e-09,2,2.23790071061922e-77
"FAM213A ENSG00000122378",-0.422073688388757,0.455504664500459,2,2.23790071061922e-77
"GDF15 ENSG00000130513",0.230043228231628,0.00561926320350224,2,2.23790071061922e-77
"HNRNPA1 ENSG00000135486",-0.36514749527573,0.115594236995128,2,2.23790071061922e-77
"FLNB ENSG00000136068",-0.397940008672038,1.34307631104706e-05,2,2.23790071061922e-77
"HMGA1 ENSG00000137309",NA,0.86454586118236,2,2.23790071061922e-77
"SLC37A4 ENSG00000137700",-0.651278013998144,0.000666543026210838,2,2.23790071061922e-77
"SERF2 ENSG00000140264",-0.127670818333007,0.000234294855030664,2,2.23790071061922e-77
"KLK3 ENSG00000142515",-0.156323874894782,7.95921711028371e-12,2,2.23790071061922e-77
"MGST3 ENSG00000143198",-0.223343740703308,0.105382386715167,2,2.23790071061922e-77
"EBP ENSG00000147155",-0.447158031342219,0.000417580189078641,2,2.23790071061922e-77
"NCAPD3 ENSG00000151503",0.160579092877434,0.37070062860263,2,2.23790071061922e-77
"TSC22D3 ENSG00000157514",-0.393452191094313,3.82653370814482e-09,2,2.23790071061922e-77
"SLC45A3 ENSG00000158715",-0.235373829514863,1.15663575019426e-07,2,2.23790071061922e-77
"NBL1 ENSG00000158747",-0.244625964465926,2.09685930656551e-06,2,2.23790071061922e-77
"ALDH4A1 ENSG00000159423",-0.817069316414013,0.00193196473205773,2,2.23790071061922e-77
"SPON2 ENSG00000159674",0.0570131677061332,0.410668107034337,2,2.23790071061922e-77
"TFF3 ENSG00000160180",0.241329519242726,3.36788949245845e-09,2,2.23790071061922e-77
"AZGP1 ENSG00000160862",0.0259466802571936,0.94978742684464,2,2.23790071061922e-77
"SPINK1 ENSG00000164266",1.54990629558249,7.243592350485e-19,2,2.23790071061922e-77
"TRPV6 ENSG00000165125",-0.306425027550687,0.402964087454979,2,2.23790071061922e-77
"CLDN3 ENSG00000165215",0.521599526441165,0.00017264445632461,2,2.23790071061922e-77
"INPPL1 ENSG00000165458",-0.320335150859368,0.170911922131176,2,2.23790071061922e-77
"SEC11C ENSG00000166562",-0.535113201697349,0.00396040846941468,2,2.23790071061922e-77
"SPINT2 ENSG00000167642",-0.143181157658063,0.0396738216402412,2,2.23790071061922e-77
"KLK4 ENSG00000167749",0.248142028422164,0.000754782331715909,2,2.23790071061922e-77
"KLK2 ENSG00000167751",-0.155677175774946,3.46543571505557e-11,2,2.23790071061922e-77
"DCXR ENSG00000169738",-0.270877578433882,1.94424786729287e-06,2,2.23790071061922e-77
"ZNF692 ENSG00000171163",-0.316269962220718,0.315193904672153,2,2.23790071061922e-77
"FKBP2 ENSG00000173486",-0.174479774899102,0.00619555131148199,2,2.23790071061922e-77
"KCNH6 ENSG00000173826",-0.208883772451989,0.432731429406764,2,2.23790071061922e-77
"VWA1 ENSG00000179403",-0.187456623060256,0.0876967038672669,2,2.23790071061922e-77
"FAM3B ENSG00000183844",Inf,7.09337089059378e-14,2,2.23790071061922e-77
"H1FX ENSG00000184897",-0.232128388860927,0.00108365738034849,2,2.23790071061922e-77
"BCAP31 ENSG00000185825",-0.158050875415696,0.0232478692377298,2,2.23790071061922e-77
"MAP3K3 ENSG00000198909",NA,0.476627047304433,2,2.23790071061922e-77
