Id,Cluster
1,14
2,2
3,15
4,16
5,2
6,17
7,18
8,2
9,19
10,20
11,21
12,2
13,22
14,2
15,2
16,2
17,23
18,24
19,25
20,26
21,27
22,28
23,1
24,1
25,29
26,30
27,1
28,3
29,2
30,7
31,31
32,1
33,2
34,32
35,33
36,2
37,2
38,34
39,35
40,8
41,36
42,37
43,9
44,1
45,38
46,4
47,39
48,2
49,40
50,5
51,41
52,2
53,1
54,10
55,1
56,1
57,42
58,1
59,11
60,43
61,2
62,6
63,44
64,1
65,7
66,45
67,46
68,47
69,1
70,2
71,48
72,6
73,49
74,50
75,51
76,2
77,2
78,52
79,2
80,12
81,53
82,54
83,1
84,55
85,56
86,13
87,2
88,2
89,1
90,57
91,58
92,1
93,5
94,59
95,1
96,60
97,61
98,1
99,1
100,2
101,1
102,62
103,63
104,64
105,1
106,4
107,65
108,66
109,1
110,2
111,67
112,13
113,68
114,2
115,69
116,2
117,70
118,1
119,71
120,1
121,2
122,2
123,72
124,2
125,2
126,73
127,1
128,2
129,2
130,2
131,74
132,2
133,1
134,1
135,1
136,75
137,76
138,2
139,77
140,78
141,79
142,2
143,3
144,12
145,80
146,1
147,10
148,81
149,82
150,83
151,84
152,1
153,85
154,86
155,1
156,11
157,87
158,1
159,4
160,1
161,88
162,2
163,9
164,14
165,2
166,15
167,16
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,17
176,18
177,19
178,20
179,21
180,22
181,2
182,2
183,23
184,24
185,25
186,26
187,27
188,28
189,1
190,1
191,1
192,1
193,29
194,30
195,3
196,31
197,32
198,33
199,2
200,2
201,34
202,35
203,8
204,8
205,36
206,37
207,1
208,1
209,1
210,1
211,38
212,39
213,40
214,5
215,41
216,10
217,1
218,2
219,42
220,11
221,43
222,6
223,44
224,7
225,45
226,46
227,47
228,48
229,6
230,49
231,50
232,51
233,2
234,2
235,52
236,2
237,2
238,12
239,53
240,54
241,55
242,56
243,13
244,1
245,1
246,1
247,57
248,58
249,5
250,59
251,60
252,61
253,62
254,63
255,64
256,4
257,65
258,66
259,1
260,1
261,67
262,68
263,2
264,69
265,2
266,2
267,2
268,2
269,2
270,70
271,71
272,72
273,2
274,2
275,2
276,73
277,74
278,1
279,1
280,75
281,76
282,2
283,77
284,78
285,79
286,3
287,3
288,80
289,81
290,82
291,83
292,84
293,85
294,86
295,1
296,87
297,88
298,9
