Id,Cluster
1,72
2,6
3,1
4,1
5,33
6,73
7,3
8,61
9,39
10,12
11,1
12,36
13,7
14,16
15,40
16,9
17,4
18,1
19,1
20,34
21,1
22,24
23,1
24,1
25,71
26,36
27,21
28,99
29,3
30,1
31,1
32,4
33,1
34,13
35,32
36,13
37,10
38,7
39,55
40,1
41,74
42,56
43,1
44,30
45,1
46,29
47,2
48,1
49,14
50,57
51,13
52,75
53,1
54,38
55,9
56,11
57,1
58,1
59,4
60,4
61,1
62,1
63,18
64,32
65,76
66,15
67,4
68,77
69,6
70,1
71,1
72,5
73,33
74,6
75,19
76,1
77,48
78,13
79,6
80,1
81,4
82,2
83,3
84,78
85,1
86,1
87,19
88,11
89,51
90,39
91,3
92,24
93,31
94,38
95,1
96,3
97,62
98,44
99,30
100,11
101,19
102,35
103,2
104,1
105,41
106,22
107,63
108,54
109,5
110,3
111,32
112,45
113,1
114,40
115,25
116,1
117,45
118,15
119,1
120,2
121,79
122,4
123,2
124,18
125,3
126,58
127,19
128,42
129,49
130,1
131,2
132,9
133,13
134,2
135,1
136,1
137,6
138,80
139,1
140,7
141,4
142,46
143,49
144,2
145,8
146,1
147,17
148,34
149,64
150,1
151,11
152,65
153,1
154,18
155,81
156,82
157,19
158,9
159,1
160,52
161,37
162,24
163,27
164,1
165,1
166,1
167,23
168,4
169,2
170,6
171,1
172,10
173,1
174,1
175,46
176,7
177,10
178,1
179,18
180,1
181,8
182,31
183,26
184,3
185,1
186,7
187,4
188,1
189,1
190,1
191,28
192,2
193,1
194,1
195,2
196,1
197,17
198,1
199,43
200,42
201,18
202,1
203,7
204,10
205,1
206,83
207,84
208,35
209,13
210,27
211,16
212,55
213,5
214,34
215,53
216,25
217,66
218,4
219,41
220,1
221,9
222,7
223,12
224,26
225,50
226,1
227,85
228,9
229,2
230,13
231,47
232,45
233,6
234,1
235,30
236,3
237,8
238,14
239,1
240,23
241,2
242,9
243,1
244,1
245,3
246,25
247,33
248,12
249,9
250,36
251,2
252,9
253,20
254,1
255,3
256,1
257,5
258,1
259,3
260,4
261,67
262,11
263,6
264,2
265,4
266,17
267,3
268,16
269,9
270,10
271,1
272,1
273,26
274,7
275,11
276,1
277,2
278,1
279,68
280,1
281,2
282,1
283,15
284,19
285,35
286,8
287,24
288,22
289,69
290,1
291,22
292,1
293,2
294,68
295,29
296,1
297,11
298,41
299,86
300,1
301,5
302,1
303,39
304,7
305,1
306,6
307,7
308,1
309,1
310,1
311,2
312,14
313,1
314,35
315,1
316,87
317,10
318,36
319,3
320,1
321,3
322,6
323,1
324,88
325,17
326,2
327,6
328,89
329,6
330,1
331,51
332,14
333,12
334,90
335,91
336,7
337,4
338,1
339,57
340,62
341,1
342,8
343,15
344,1
345,1
346,52
347,1
348,1
349,1
350,1
351,9
352,2
353,2
354,9
355,27
356,11
357,1
358,1
359,1
360,1
361,1
362,3
363,41
364,1
365,10
366,1
367,2
368,32
369,7
370,1
371,19
372,20
373,1
374,44
375,1
376,3
377,22
378,59
379,15
380,1
381,43
382,2
383,1
384,1
385,22
386,3
387,13
388,1
389,8
390,18
391,39
392,1
393,4
394,31
395,33
396,3
397,1
398,3
399,10
400,1
401,6
402,6
403,59
404,43
405,1
406,37
407,4
408,1
409,5
410,12
411,92
412,70
413,16
414,17
415,1
416,16
417,5
418,35
419,14
420,7
421,7
422,1
423,11
424,18
425,3
426,1
427,1
428,1
429,13
430,1
431,4
432,8
433,5
434,21
435,12
436,1
437,93
438,1
439,1
440,22
441,1
442,94
443,21
444,1
445,12
446,12
447,4
448,47
449,12
450,7
451,95
452,33
453,31
454,3
455,11
456,96
457,29
458,37
459,1
460,1
461,5
462,1
463,2
464,2
465,1
466,1
467,1
468,5
469,1
470,1
471,11
472,1
473,20
474,1
475,1
476,1
477,2
478,1
479,1
480,5
481,2
482,15
483,1
484,34
485,1
486,1
487,14
488,5
489,1
490,11
491,8
492,3
493,8
494,13
495,2
496,56
497,6
498,29
499,28
500,2
501,1
502,2
503,23
504,1
505,1
506,7
507,1
508,60
509,1
510,4
511,12
512,11
513,1
514,20
515,1
516,9
517,38
518,4
519,1
520,1
521,20
522,4
523,44
524,1
525,1
526,4
527,11
528,2
529,1
530,26
531,1
532,1
533,8
534,5
535,7
536,64
537,1
538,1
539,9
540,25
541,1
542,1
543,1
544,97
545,98
546,15
547,1
548,1
549,20
550,31
551,7
552,10
553,28
554,27
555,48
556,1
557,15
558,1
559,5
560,23
561,10
562,49
563,1
564,1
565,6
566,1
567,1
568,1
569,1
570,25
571,15
572,1
573,1
574,1
575,1
576,10
577,1
578,1
579,1
580,72
581,12
582,1
583,73
584,3
585,3
586,30
587,61
588,39
589,12
590,1
591,7
592,40
593,40
594,9
595,1
596,1
597,70
598,34
599,6
600,71
601,21
602,99
603,50
604,1
605,4
606,1
607,13
608,32
609,74
610,56
611,1
612,14
613,30
614,42
615,13
616,13
617,13
618,75
619,38
620,1
621,18
622,32
623,76
624,4
625,21
626,77
627,10
628,1
629,5
630,6
631,20
632,48
633,6
634,6
635,2
636,78
637,1
638,23
639,29
640,11
641,51
642,3
643,38
644,16
645,16
646,19
647,35
648,1
649,22
650,63
651,54
652,5
653,25
654,15
655,1
656,1
657,1
658,45
659,23
660,79
661,2
662,58
663,42
664,66
665,17
666,80
667,9
668,17
669,1
670,23
671,46
672,2
673,8
674,65
675,81
676,82
677,9
678,52
679,24
680,24
681,60
682,47
683,10
684,10
685,53
686,2
687,1
688,46
689,46
690,18
691,16
692,1
693,26
694,3
695,22
696,27
697,28
698,28
699,1
700,18
701,10
702,83
703,84
704,55
705,50
706,85
707,9
708,33
709,9
710,47
711,2
712,3
713,33
714,12
715,3
716,5
717,3
718,3
719,4
720,67
721,19
722,24
723,69
724,86
725,5
726,7
727,1
728,87
729,88
730,89
731,12
732,90
733,91
734,15
735,2
736,3
737,59
738,4
739,13
740,39
741,1
742,92
743,17
744,5
745,1
746,8
747,93
748,94
749,21
750,21
751,12
752,12
753,12
754,95
755,96
756,1
757,1
758,1
759,8
760,2
761,20
762,20
763,11
764,97
765,98
766,1
767,10
